,MeshBlockCode,LgaCode,LgaName
557,40005532000,40120,Adelaide Hills (DC)
558,40005540000,40120,Adelaide Hills (DC)
559,40005551000,40120,Adelaide Hills (DC)
560,40005556000,40120,Adelaide Hills (DC)
561,40005560000,40120,Adelaide Hills (DC)
562,40005570000,40120,Adelaide Hills (DC)
563,40005580000,40120,Adelaide Hills (DC)
564,40005590000,40120,Adelaide Hills (DC)
565,40005600000,40120,Adelaide Hills (DC)
566,40005610000,40120,Adelaide Hills (DC)
567,40005630000,40120,Adelaide Hills (DC)
568,40005640000,40120,Adelaide Hills (DC)
569,40005650000,40120,Adelaide Hills (DC)
570,40005660000,40120,Adelaide Hills (DC)
571,40005671000,40120,Adelaide Hills (DC)
572,40005672000,40120,Adelaide Hills (DC)
573,40005680000,40120,Adelaide Hills (DC)
574,40005690000,40120,Adelaide Hills (DC)
575,40005700000,40120,Adelaide Hills (DC)
576,40005710000,40120,Adelaide Hills (DC)
577,40005720000,40120,Adelaide Hills (DC)
578,40005730000,40120,Adelaide Hills (DC)
579,40005740000,40120,Adelaide Hills (DC)
580,40005750000,40120,Adelaide Hills (DC)
581,40005760000,40120,Adelaide Hills (DC)
582,40005770000,40120,Adelaide Hills (DC)
583,40005780000,40120,Adelaide Hills (DC)
584,40005790000,40120,Adelaide Hills (DC)
585,40005800000,40120,Adelaide Hills (DC)
586,40005810000,40120,Adelaide Hills (DC)
587,40005820000,40120,Adelaide Hills (DC)
588,40005830000,40120,Adelaide Hills (DC)
589,40005840000,40120,Adelaide Hills (DC)
590,40005850000,40120,Adelaide Hills (DC)
591,40005860000,40120,Adelaide Hills (DC)
592,40005870000,40120,Adelaide Hills (DC)
593,40005880000,40120,Adelaide Hills (DC)
594,40005891000,40120,Adelaide Hills (DC)
595,40005892000,40120,Adelaide Hills (DC)
596,40005900000,40120,Adelaide Hills (DC)
597,40005910000,40120,Adelaide Hills (DC)
598,40005920000,40120,Adelaide Hills (DC)
599,40005930000,40120,Adelaide Hills (DC)
600,40005940000,40120,Adelaide Hills (DC)
601,40005950000,40120,Adelaide Hills (DC)
602,40005960000,40120,Adelaide Hills (DC)
603,40005970000,40120,Adelaide Hills (DC)
604,40005980000,40120,Adelaide Hills (DC)
605,40005991000,40120,Adelaide Hills (DC)
606,40005992000,40120,Adelaide Hills (DC)
607,40006000000,40120,Adelaide Hills (DC)
608,40006010000,40120,Adelaide Hills (DC)
609,40006020000,40120,Adelaide Hills (DC)
610,40006040000,40120,Adelaide Hills (DC)
611,40006050000,40120,Adelaide Hills (DC)
612,40006061000,40120,Adelaide Hills (DC)
613,40006062000,40120,Adelaide Hills (DC)
614,40006070000,40120,Adelaide Hills (DC)
615,40006090000,40120,Adelaide Hills (DC)
616,40006100000,40120,Adelaide Hills (DC)
617,40006110000,40120,Adelaide Hills (DC)
618,40006121000,40120,Adelaide Hills (DC)
619,40006122000,40120,Adelaide Hills (DC)
620,40006130000,40120,Adelaide Hills (DC)
621,40006141000,40120,Adelaide Hills (DC)
622,40006142000,40120,Adelaide Hills (DC)
623,40006150000,40120,Adelaide Hills (DC)
624,40006160000,40120,Adelaide Hills (DC)
625,40006170000,40120,Adelaide Hills (DC)
626,40006180000,40120,Adelaide Hills (DC)
627,40006190000,40120,Adelaide Hills (DC)
628,40006200000,40120,Adelaide Hills (DC)
629,40006210000,40120,Adelaide Hills (DC)
630,40006220000,40120,Adelaide Hills (DC)
631,40006230000,40120,Adelaide Hills (DC)
632,40006241000,40120,Adelaide Hills (DC)
633,40006242000,40120,Adelaide Hills (DC)
634,40006250000,40120,Adelaide Hills (DC)
635,40006260000,40120,Adelaide Hills (DC)
636,40006270000,40120,Adelaide Hills (DC)
637,40006280000,40120,Adelaide Hills (DC)
638,40006290000,40120,Adelaide Hills (DC)
639,40006300000,40120,Adelaide Hills (DC)
640,40006310000,40120,Adelaide Hills (DC)
641,40006321000,40120,Adelaide Hills (DC)
642,40006322000,40120,Adelaide Hills (DC)
643,40006323000,40120,Adelaide Hills (DC)
644,40006331000,40120,Adelaide Hills (DC)
645,40006332000,40120,Adelaide Hills (DC)
646,40006333000,40120,Adelaide Hills (DC)
647,40006340000,40120,Adelaide Hills (DC)
648,40006350000,40120,Adelaide Hills (DC)
649,40006360000,40120,Adelaide Hills (DC)
650,40006370000,40120,Adelaide Hills (DC)
651,40006380000,40120,Adelaide Hills (DC)
652,40006390000,40120,Adelaide Hills (DC)
653,40006400000,40120,Adelaide Hills (DC)
654,40006410000,40120,Adelaide Hills (DC)
655,40006420000,40120,Adelaide Hills (DC)
656,40006430000,40120,Adelaide Hills (DC)
657,40006440000,40120,Adelaide Hills (DC)
658,40006450000,40120,Adelaide Hills (DC)
659,40006460000,40120,Adelaide Hills (DC)
660,40006470000,40120,Adelaide Hills (DC)
661,40006490000,40120,Adelaide Hills (DC)
662,40006500000,40120,Adelaide Hills (DC)
663,40006510000,40120,Adelaide Hills (DC)
664,40006520000,40120,Adelaide Hills (DC)
665,40006550000,40120,Adelaide Hills (DC)
666,40006560000,40120,Adelaide Hills (DC)
667,40006570000,40120,Adelaide Hills (DC)
668,40006580000,40120,Adelaide Hills (DC)
669,40006591000,40120,Adelaide Hills (DC)
