,PremisesName,Address,City,PostalCode,Latitude,Longitude,MachineCount,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,PostalCodePopulation,PostalCodeAvgTaxableIncome,PostalCodeRankTaxableIncome
69,Central District Footballers Club,"10 Goodman Rd, Elizabeth SA 5112, Australia",Elizabeth,5112,-34.7206414,138.6634377,40,40132140000,40393,4,South Australia,45680,Playford (C),7679,42737.0,283
70,Central Hotel,"30 Alexander St, Port Pirie SA 5540, Australia",Port Pirie,5540,-33.1770313,138.0089415,32,40156882000,41195,4,South Australia,46450,Port Pirie City and Dists (M),7028,49192.0,161
71,Challa Gardens Hotel,"337 Torrens Rd, Croydon SA 5008, Australia",Croydon,5008,-34.8821217,138.5592307,40,40041260000,40326,4,South Australia,41060,Charles Sturt (C),7094,48171.0,184
72,Charleston Hotel,"26 Onkaparinga Valley Rd, Charleston SA 5244, Australia",Charleston,5244,-34.9167103,138.899914,5,40008100000,40244,4,South Australia,40120,Adelaide Hills (DC),2467,51561.0,126
73,Christies Beach Hotel,"12-13 Gulfview Rd, Christies Beach SA 5065, Australia",Christies Beach,5065,-35.1312046,138.4743973,40,40115100000,40255,4,South Australia,45340,Onkaparinga (C),6585,77310.0,11
74,Clare Hotel,"244 Main N Rd, Clare SA 5453, Australia",Clare,5453,-33.8338889,138.6119444,25,40044342000,40257,4,South Australia,41140,Clare and Gilbert Valleys (DC),3024,50599.0,139
75,Cleve Hotel,"32 Fourth St, Cleve SA 5640, Australia",Cleve,5640,-33.7029365,136.4936244,8,40045370000,40267,4,South Australia,41190,Cleve (DC),649,49154.0,162
76,Clovercrest Hotel Motel,"450 Montague Rd, Modbury North SA 5092, Australia",Modbury North,5092,-34.8284386,138.673921,40,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),9862,47216.0,195
77,Clyde Hotel,"27 Unley Rd, Parkside SA 5063, Australia",Parkside,5063,-34.943168,138.607151,40,40194830000,41102,4,South Australia,47980,Unley (C),7603,68387.0,21
78,Cobdogla and District Club,"13 Rowe St, Cobdogla SA 5346, Australia",Cobdogla,5346,-34.2451452,140.4039163,20,40016880000,40272,4,South Australia,40520,Berri and Barmera (DC),166,43847.0,259
79,Coffin Bay Hotel,"Shepperd Ave, Coffin Bay SA 5607, Australia",Coffin Bay,5607,-34.621566,135.4615652,13,40066040000,40277,4,South Australia,43710,Lower Eyre Peninsula (DC),2041,48231.0,182
80,Colonel Light Hotel,"141 Currie St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9249276,138.5926891,20,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
81,Colonist Tavern,"44 The Parade, Norwood SA 5067, Australia",Norwood,5067,-34.92196,138.627363,40,40106130000,41044,4,South Australia,45290,Norwood Payneham St Peters (C),6601,75339.0,13
82,Colonnades Tavern,"54 Beach Rd, Christies Beach SA 5165, Australia",Christies Beach,5165,-35.1402568,138.4949479,40,40115100000,40255,4,South Australia,45340,Onkaparinga (C),2703,44132.0,256
83,Commercial Hotel,"22 Commercial St, Burra SA 5417, Australia",Burra,5417,-33.682809,138.938083,6,40052691000,40193,4,South Australia,42110,Goyder (DC),794,44079.0,257
84,Commercial Hotel,"24 Main St, Cowell SA 5602, Australia",Cowell,5602,-33.6835902,136.9249966,13,40050022000,40316,4,South Australia,41960,Franklin Harbour (DC),696,46539.0,211
85,Commercial Hotel,"70 Old Port Wakefield Rd, Two Wells SA 5501, Australia",Two Wells,5501,-34.5954544,138.5171029,10,40069411000,41464,4,South Australia,40150,Adelaide Plains (DC),4007,51241.0,132
86,Commercial Hotel,"76 Commercial St W, Mount Gambier SA 5290, Australia",Mount Gambier,5290,-37.8271859,140.7770931,40,40095360000,40940,4,South Australia,44620,Mount Gambier (C),14686,49042.0,166
87,Commercial Hotel,"13 Railway Terrace, Morgan SA 5320, Australia",Morgan,5320,-34.0353885,139.6711192,14,40082641000,40915,4,South Australia,44210,Mid Murray (DC),279,42335.0,289
88,Commercial Hotel,"27 High St, Strathalbyn SA 5255, Australia",Strathalbyn,5255,-35.255963,138.8930947,25,40011110000,41382,4,South Australia,40220,Alexandrina (DC),5359,46377.0,215
89,Commercial Hotel,"35 Ayr St, Jamestown SA 5491, Australia",Jamestown,5491,-33.205954,138.605661,18,40102881000,40629,4,South Australia,45120,Northern Areas (DC),1091,53724.0,100
90,Coobowie Hotel,"59 Beach Rd, Coobowie SA 5583, Australia",Coobowie,5583,-35.0440949,137.7311175,6,40215037600,40294,4,South Australia,48830,Yorke Peninsula (DC),372,37756.0,319
91,Coonalpyn Hotel,"45 Poyntz Terrace, Coonalpyn SA 5265, Australia",Coonalpyn,5265,-35.69743,139.85818,7,40192900000,40302,4,South Australia,47800,The Coorong (DC),215,41758.0,293
92,Coopers Alehouse Wallaroo,"11 Heritage Dr, Wallaroo SA 5556, Australia",Wallaroo,5556,-33.9240117,137.6311707,40,40046150000,41502,4,South Australia,41560,Copper Coast (DC),1810,44280.0,251
93,Copley Hotel,"20 Railway Terrace W, Copley SA 5732, Australia",Copley,5732,-30.5548268,138.423693,15,40227030000,40308,4,South Australia,49399,Unincorporated SA,87,46496.0,212
94,Copper Coast Hotel,"49 Owen Terrace, Wallaroo SA 5556, Australia",Wallaroo,5556,-33.9320392,137.6286703,12,40046150000,41502,4,South Australia,41560,Copper Coast (DC),1810,44280.0,251
95,Corio Hotel,"1 Railway Terrace, Goolwa SA 5214, Australia",Goolwa,5214,-35.5034104,138.783742,31,40008820000,40516,4,South Australia,40220,Alexandrina (DC),4071,40545.0,305
96,Cornwall Hotel,"20 Ryan St, Moonta SA 5558, Australia",Moonta,5558,-34.0671523,137.5921191,17,40046330000,40906,4,South Australia,41560,Copper Coast (DC),2252,43667.0,264
97,Coromandel Valley Duck Inn,"393 Main Rd, Coromandel Valley SA 5051, Australia",Coromandel Valley,5051,-35.040225,138.62694,40,40084510000,40311,4,South Australia,44340,Mitcham (C),9162,59625.0,52
98,Cove Tavern,"4 Ramrod Ave, Hallett Cove SA 5158, Australia",Hallett Cove,5158,-35.0772222,138.5177778,40,40079890000,40548,4,South Australia,44060,Marion (C),15497,51144.0,134
99,Cremorne Hotel,"207 Unley Rd, Unley SA 5061, Australia",Unley,5061,-34.9535843,138.6078816,40,40195300000,41474,4,South Australia,47980,Unley (C),6587,93871.0,2
100,Criterion Tavern,"18 Nineteenth St, Gawler SA 5118, Australia",Gawler,5118,-34.6084949,138.7405695,40,40050490000,40469,4,South Australia,42030,Gawler (T),10640,52422.0,111
101,Cross Keys Hotel,"156/160 Port Wakefield Rd, Cavan SA 5094, Australia",Cavan,5094,-34.8280172,138.5989259,40,40177842000,40233,4,South Australia,47140,Salisbury (C),484,49355.0,158
