,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
123,2,Asian Restaurant,4bf58dd8d48988d142941735,Food,Asian Restaurant,,,
124,3,Burmese Restaurant,56aa371be4b08b9a8d573568,Food,Asian Restaurant,Burmese Restaurant,,
125,3,Cambodian Restaurant,52e81612bcbc57f1066b7a03,Food,Asian Restaurant,Cambodian Restaurant,,
126,3,Chinese Restaurant,4bf58dd8d48988d145941735,Food,Asian Restaurant,Chinese Restaurant,,
127,4,Anhui Restaurant,52af3a5e3cf9994f4e043bea,Food,Asian Restaurant,Chinese Restaurant,Anhui Restaurant,
128,4,Beijing Restaurant,52af3a723cf9994f4e043bec,Food,Asian Restaurant,Chinese Restaurant,Beijing Restaurant,
129,4,Cantonese Restaurant,52af3a7c3cf9994f4e043bed,Food,Asian Restaurant,Chinese Restaurant,Cantonese Restaurant,
130,4,Cha Chaan Teng,58daa1558bbb0b01f18ec1d3,Food,Asian Restaurant,Chinese Restaurant,Cha Chaan Teng,
131,4,Chinese Aristocrat Restaurant,52af3a673cf9994f4e043beb,Food,Asian Restaurant,Chinese Restaurant,Chinese Aristocrat Restaurant,
132,4,Chinese Breakfast Place,52af3a903cf9994f4e043bee,Food,Asian Restaurant,Chinese Restaurant,Chinese Breakfast Place,
133,4,Dim Sum Restaurant,4bf58dd8d48988d1f5931735,Food,Asian Restaurant,Chinese Restaurant,Dim Sum Restaurant,
134,4,Dongbei Restaurant,52af3a9f3cf9994f4e043bef,Food,Asian Restaurant,Chinese Restaurant,Dongbei Restaurant,
135,4,Fujian Restaurant,52af3aaa3cf9994f4e043bf0,Food,Asian Restaurant,Chinese Restaurant,Fujian Restaurant,
136,4,Guizhou Restaurant,52af3ab53cf9994f4e043bf1,Food,Asian Restaurant,Chinese Restaurant,Guizhou Restaurant,
137,4,Hainan Restaurant,52af3abe3cf9994f4e043bf2,Food,Asian Restaurant,Chinese Restaurant,Hainan Restaurant,
138,4,Hakka Restaurant,52af3ac83cf9994f4e043bf3,Food,Asian Restaurant,Chinese Restaurant,Hakka Restaurant,
139,4,Henan Restaurant,52af3ad23cf9994f4e043bf4,Food,Asian Restaurant,Chinese Restaurant,Henan Restaurant,
140,4,Hong Kong Restaurant,52af3add3cf9994f4e043bf5,Food,Asian Restaurant,Chinese Restaurant,Hong Kong Restaurant,
141,4,Huaiyang Restaurant,52af3af23cf9994f4e043bf7,Food,Asian Restaurant,Chinese Restaurant,Huaiyang Restaurant,
142,4,Hubei Restaurant,52af3ae63cf9994f4e043bf6,Food,Asian Restaurant,Chinese Restaurant,Hubei Restaurant,
143,4,Hunan Restaurant,52af3afc3cf9994f4e043bf8,Food,Asian Restaurant,Chinese Restaurant,Hunan Restaurant,
144,4,Imperial Restaurant,52af3b053cf9994f4e043bf9,Food,Asian Restaurant,Chinese Restaurant,Imperial Restaurant,
145,4,Jiangsu Restaurant,52af3b213cf9994f4e043bfa,Food,Asian Restaurant,Chinese Restaurant,Jiangsu Restaurant,
146,4,Jiangxi Restaurant,52af3b293cf9994f4e043bfb,Food,Asian Restaurant,Chinese Restaurant,Jiangxi Restaurant,
147,4,Macanese Restaurant,52af3b343cf9994f4e043bfc,Food,Asian Restaurant,Chinese Restaurant,Macanese Restaurant,
148,4,Manchu Restaurant,52af3b3b3cf9994f4e043bfd,Food,Asian Restaurant,Chinese Restaurant,Manchu Restaurant,
149,4,Peking Duck Restaurant,52af3b463cf9994f4e043bfe,Food,Asian Restaurant,Chinese Restaurant,Peking Duck Restaurant,
150,4,Shaanxi Restaurant,52af3b633cf9994f4e043c01,Food,Asian Restaurant,Chinese Restaurant,Shaanxi Restaurant,
151,4,Shandong Restaurant,52af3b513cf9994f4e043bff,Food,Asian Restaurant,Chinese Restaurant,Shandong Restaurant,
152,4,Shanghai Restaurant,52af3b593cf9994f4e043c00,Food,Asian Restaurant,Chinese Restaurant,Shanghai Restaurant,
153,4,Shanxi Restaurant,52af3b6e3cf9994f4e043c02,Food,Asian Restaurant,Chinese Restaurant,Shanxi Restaurant,
154,4,Szechuan Restaurant,52af3b773cf9994f4e043c03,Food,Asian Restaurant,Chinese Restaurant,Szechuan Restaurant,
155,4,Taiwanese Restaurant,52af3b813cf9994f4e043c04,Food,Asian Restaurant,Chinese Restaurant,Taiwanese Restaurant,
