,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName
210,40027041000,40211,Campbelltown,4,South Australia,40910,Campbelltown (C)
211,40045440000,40212,Campoona,4,South Australia,41190,Cleve (DC)
212,40180250000,40213,Cannawigara,4,South Australia,47630,Tatiara (DC)
213,40053080000,40214,Canowie,4,South Australia,42110,Goyder (DC)
214,40052750000,40215,Canowie Belt,4,South Australia,42110,Goyder (DC)
215,40053760000,40216,Canunda,4,South Australia,42250,Grant (DC)
216,40060920000,40217,Cape Borda,4,South Australia,42750,Kangaroo Island (DC)
217,40053890000,40218,Cape Douglas,4,South Australia,42250,Grant (DC)
218,40063001000,40219,Cape Jaffa,4,South Australia,43360,Kingston (DC)
219,40218240000,40220,Cape Jervis,4,South Australia,48750,Yankalilla (DC)
220,40062690000,40221,Caralue,4,South Australia,43220,Kimba (DC)
221,40030380000,40222,Carawa,4,South Australia,41010,Ceduna (DC)
222,40193830000,40223,Carcuma,4,South Australia,47800,The Coorong (DC)
223,40180810000,40224,Carew,4,South Australia,47630,Tatiara (DC)
224,40005780000,40225,Carey Gully,4,South Australia,40120,Adelaide Hills (DC)
225,40053830000,40226,Caroline,4,South Australia,42250,Grant (DC)
226,40054040000,40227,Carpenter Rocks,4,South Australia,42250,Grant (DC)
227,40215038400,40228,Carrickalinga,4,South Australia,48750,Yankalilla (DC)
228,40128660000,40229,Carrieton,4,South Australia,45400,Orroroo/Carrieton (DC)
229,40060960000,40230,Cassini,4,South Australia,42750,Kangaroo Island (DC)
230,40005870000,40231,Castambul,4,South Australia,40120,Adelaide Hills (DC)
231,40082920000,40232,Caurnamont,4,South Australia,44210,Mid Murray (DC)
232,40177842000,40233,Cavan,4,South Australia,47140,Salisbury (C)
233,40129000000,40234,Cavenagh,4,South Australia,45540,Peterborough (DC)
234,40053950000,40235,Caveton,4,South Australia,42250,Grant (DC)
235,40029740000,40236,Ceduna,4,South Australia,41010,Ceduna (DC)
236,40029876000,40237,Ceduna Waters,4,South Australia,41010,Ceduna (DC)
237,40215214600,40238,Chaffey,4,South Australia,46670,Renmark Paringa (DC)
238,40006980000,40239,Chain Of Ponds,4,South Australia,40120,Adelaide Hills (DC)
239,40179340000,40240,Chandada,4,South Australia,47490,Streaky Bay (DC)
240,40111270000,40241,Chandlers Hill,4,South Australia,45340,Onkaparinga (C)
241,40095341000,40242,Chapel Hill,4,South Australia,44550,Mount Barker (DC)
242,40101190000,40243,Chapman Bore,4,South Australia,45040,Murray Bridge (RC)
243,40008100000,40244,Charleston,4,South Australia,40120,Adelaide Hills (DC)
244,40066450000,40245,Charlton Gully,4,South Australia,43710,Lower Eyre Peninsula (DC)
245,40029700000,40246,Charra,4,South Australia,41010,Ceduna (DC)
246,40042130000,40247,Cheltenham,4,South Australia,41060,Charles Sturt (C)
247,40111000000,40248,Cherry Gardens,4,South Australia,45340,Onkaparinga (C)
248,40006070000,40249,Cherryville,4,South Australia,40120,Adelaide Hills (DC)
249,40179490000,40250,Chilpenunda,4,South Australia,47490,Streaky Bay (DC)
250,40221750000,40251,Chinaman Wells,4,South Australia,48830,Yorke Peninsula (DC)
251,40029970000,40252,Chinbingina,4,South Australia,41010,Ceduna (DC)
252,40215198800,40253,Chowilla,4,South Australia,49399,Unincorporated SA
253,40115180000,40254,Christie Downs,4,South Australia,45340,Onkaparinga (C)
254,40115100000,40255,Christies Beach,4,South Australia,45340,Onkaparinga (C)
255,40088060000,40256,Clapham,4,South Australia,44340,Mitcham (C)
256,40044342000,40257,Clare,4,South Australia,41140,Clare and Gilbert Valleys (DC)
257,40090180000,40258,Clarence Gardens,4,South Australia,44340,Mitcham (C)
258,40197460000,40259,Clarence Park,4,South Australia,47980,Unley (C)
259,40111031000,40260,Clarendon,4,South Australia,45340,Onkaparinga (C)
260,40164000000,40261,Clay Wells,4,South Australia,46860,Robe (DC)
261,40082630000,40262,Claypans,4,South Australia,44210,Mid Murray (DC)
262,40011220000,40263,Clayton Bay,4,South Australia,40220,Alexandrina (DC)
263,40142340000,40264,Clearview,4,South Australia,45890,Port Adelaide Enfield (C)
264,40006150000,40265,Cleland,4,South Australia,40120,Adelaide Hills (DC)
265,40016240000,40266,Clements Gap,4,South Australia,40430,Barunga West (DC)
266,40045370000,40267,Cleve,4,South Australia,41190,Cleve (DC)
267,40215189900,40268,Clifton Hills Station,4,South Australia,49399,Unincorporated SA
268,40215212300,40269,Clinton,4,South Australia,48830,Yorke Peninsula (DC)
269,40221190000,40270,Clinton Centre,4,South Australia,48830,Yorke Peninsula (DC)
270,40071830000,40271,Tonsley,4,South Australia,44060,Marion (C)
271,40016880000,40272,Cobdogla,4,South Australia,40520,Berri and Barmera (DC)
272,40063840000,40273,Cocata,4,South Australia,48640,Wudinna (DC)
273,40194340000,40274,Cockaleechie,4,South Australia,47910,Tumby Bay (DC)
274,40014040000,40275,Cockatoo Valley,4,South Australia,40310,Barossa (DC)
275,40226150000,40276,Cockburn,4,South Australia,49399,Unincorporated SA
276,40066040000,40277,Coffin Bay,4,South Australia,43710,Lower Eyre Peninsula (DC)
277,40193500000,40278,Colebatch,4,South Australia,47800,The Coorong (DC)
278,40101760000,40279,Coles,4,South Australia,45090,Naracoorte and Lucindale (DC)
279,40106660000,40280,College Park,4,South Australia,45290,Norwood Payneham St Peters (C)
280,40179420000,40281,Colley,4,South Australia,47490,Streaky Bay (DC)
281,40159460000,40282,Collinsfield,4,South Australia,46450,Port Pirie City and Dists (M)
282,40215184800,40283,Collinsville,4,South Australia,42110,Goyder (DC)
283,40159970000,40284,Collinswood,4,South Australia,46510,Prospect (C)
284,40088322000,40285,Colonel Light Gardens,4,South Australia,44340,Mitcham (C)
285,40048960000,40286,Colton,4,South Australia,41750,Elliston (DC)
286,40205200000,40287,Comaum,4,South Australia,48340,Wattle Range (DC)
287,40152680000,40288,Commissariat Point,4,South Australia,46090,Port Augusta (C)
288,40053880000,40289,Compton,4,South Australia,42250,Grant (DC)
289,40215166400,40290,Concordia,4,South Australia,40310,Barossa (DC)
290,40202260000,40291,Condowie,4,South Australia,48130,Wakefield (DC)
291,40101620000,40292,Conmurra,4,South Australia,45090,Naracoorte and Lucindale (DC)
292,40045740000,40293,Coober Pedy,4,South Australia,41330,Coober Pedy (DC)
293,40215037600,40294,Coobowie,4,South Australia,48830,Yorke Peninsula (DC)
294,40193630000,40295,Cooke Plains,4,South Australia,47800,The Coorong (DC)
295,40049490000,40296,Coolillie,4,South Australia,41750,Elliston (DC)
296,40162651000,40297,Cooltong,4,South Australia,46670,Renmark Paringa (DC)
297,40193930000,40298,Coomandook,4,South Australia,47800,The Coorong (DC)
298,40193840000,40299,Coombe,4,South Australia,47800,The Coorong (DC)
299,40099040000,40300,Coomooroo,4,South Australia,44830,Mount Remarkable (DC)
300,40066650000,40301,Coomunga,4,South Australia,43710,Lower Eyre Peninsula (DC)
301,40192900000,40302,Coonalpyn,4,South Australia,47800,The Coorong (DC)
302,40159300000,40303,Coonamia,4,South Australia,46450,Port Pirie City and Dists (M)
303,40205010000,40304,Coonawarra,4,South Australia,48340,Wattle Range (DC)
304,40062960000,40305,Coorong,4,South Australia,43360,Kingston (DC)
305,40062700000,40306,Cootra,4,South Australia,43220,Kimba (DC)
306,40062420000,40307,Copeville,4,South Australia,43080,Karoonda East Murray (DC)
307,40227030000,40308,Copley,4,South Australia,49399,Unincorporated SA
308,40215129500,40309,Corny Point,4,South Australia,48830,Yorke Peninsula (DC)
309,40111220000,40310,Coromandel East,4,South Australia,45340,Onkaparinga (C)
310,40084510000,40311,Coromandel Valley,4,South Australia,44340,Mitcham (C)
311,40062850000,40312,Cortlinye,4,South Australia,43220,Kimba (DC)
312,40214979300,40313,Corunna Station,4,South Australia,49399,Unincorporated SA
313,40066410000,40314,Coulta,4,South Australia,43710,Lower Eyre Peninsula (DC)
314,40207070000,40315,Cowandilla,4,South Australia,48410,West Torrens (C)
315,40050022000,40316,Cowell,4,South Australia,41960,Franklin Harbour (DC)
316,40083031000,40317,Cowirra,4,South Australia,44210,Mid Murray (DC)
317,40049570000,40318,Cradock,4,South Australia,41830,Flinders Ranges (DC)
318,40003840000,40319,Crafers,4,South Australia,40120,Adelaide Hills (DC)
319,40004000000,40320,Crafers West,4,South Australia,40120,Adelaide Hills (DC)
320,40084572000,40321,Craigburn Farm,4,South Australia,44340,Mitcham (C)
321,40129450000,40322,Craigmore,4,South Australia,45680,Playford (C)
322,40215313700,40323,Crescent,4,South Australia,46670,Renmark Paringa (DC)
323,40006730000,40324,Cromer,4,South Australia,40120,Adelaide Hills (DC)
324,40046730000,40325,Cross Roads,4,South Australia,41560,Copper Coast (DC)
325,40041260000,40326,Croydon,4,South Australia,41060,Charles Sturt (C)
326,40148520000,40327,Croydon Park,4,South Australia,45890,Port Adelaide Enfield (C)
327,40159091000,40328,Crystal Brook,4,South Australia,46450,Port Pirie City and Dists (M)
328,40006760000,40329,Cudlee Creek,4,South Australia,40120,Adelaide Hills (DC)
329,40193640000,40330,Culburra,4,South Australia,47800,The Coorong (DC)
330,40215306800,40331,Cultana,4,South Australia,49399,Unincorporated SA
331,40089850000,40332,Cumberland Park,4,South Australia,44340,Mitcham (C)
332,40066220000,40333,Cummins,4,South Australia,43710,Lower Eyre Peninsula (DC)
333,40179280000,40334,Cungena,4,South Australia,47490,Streaky Bay (DC)
334,40046400000,40335,Cunliffe,4,South Australia,41560,Copper Coast (DC)
335,40220670000,40336,Cunningham,4,South Australia,48830,Yorke Peninsula (DC)
336,40062670000,40337,Cunyarie,4,South Australia,43220,Kimba (DC)
337,40215211700,40338,Curramulka,4,South Australia,48830,Yorke Peninsula (DC)
338,40008700000,40339,Currency Creek,4,South Australia,40220,Alexandrina (DC)
339,40180910000,40340,Custon,4,South Australia,47630,Tatiara (DC)
340,40061480000,40341,Cuttlefish Bay,4,South Australia,42750,Kangaroo Island (DC)
341,40060780000,40342,Cygnet River,4,South Australia,42750,Kangaroo Island (DC)
342,40060350000,40343,D'Estrees Bay,4,South Australia,42750,Kangaroo Island (DC)
343,40203050000,40344,Dalkey,4,South Australia,48130,Wakefield (DC)
344,40215290600,40345,Danggali,4,South Australia,49399,Unincorporated SA
345,40045400000,40346,Darke Peak,4,South Australia,41190,Cleve (DC)
346,40071850000,40347,Darlington,4,South Australia,44060,Marion (C)
347,40214968400,40348,Davenport,4,South Australia,46090,Port Augusta (C)
348,40064810000,40349,Daveyston,4,South Australia,43650,Light (RegC)
349,40131980000,40350,Davoren Park,4,South Australia,45680,Playford (C)
350,40089860000,40351,Daw Park,4,South Australia,44340,Mitcham (C)
351,40094810000,40352,Dawesley,4,South Australia,44550,Mount Barker (DC)
352,40129390000,40353,Dawson,4,South Australia,45540,Peterborough (DC)
353,40060820000,40354,De Mole River,4,South Australia,42750,Kangaroo Island (DC)
354,40218320000,40355,Deep Creek,4,South Australia,48750,Yankalilla (DC)
355,40192880000,40356,Deepwater,4,South Australia,47800,The Coorong (DC)
356,40218010000,40357,Delamere,4,South Australia,48750,Yankalilla (DC)
357,40029840000,40358,Denial Bay,4,South Australia,41010,Ceduna (DC)
358,40141730000,40359,Dernancourt,4,South Australia,45890,Port Adelaide Enfield (C)
359,40224051000,40360,Devlins Pound,4,South Australia,43790,Loxton Waikerie (DC)
360,40041090000,40361,Devon Park,4,South Australia,41060,Charles Sturt (C)
361,40011340000,40362,Dingabledinga,4,South Australia,40220,Alexandrina (DC)
362,40215148200,40363,Direk,4,South Australia,47140,Salisbury (C)
363,40053910000,40364,Dismal Swamp,4,South Australia,42250,Grant (DC)
364,40053800000,40365,Donovans,4,South Australia,42250,Grant (DC)
365,40006000000,40366,Dorset Vale,4,South Australia,40120,Adelaide Hills (DC)
366,40071840000,40367,Dover Gardens,4,South Australia,44060,Marion (C)
367,40222180000,40368,Dowlingville,4,South Australia,48830,Yorke Peninsula (DC)
